id,name,descr,lang_code,is_active,cr_by,cr_dtimes
login_auth,Login authentication,Login authentication,eng,TRUE,superadmin,now()
eod_auth,Eod authentication,Eod authentication,eng,TRUE,superadmin,now()
packet_auth,Packet authentication,Packet authentication,eng,TRUE,superadmin,now()
exception_auth,Exception authentication,Exception authentication,eng,TRUE,superadmin,now()
onboard_auth,Onboard authentication,Onboard authentication,eng,TRUE,superadmin,now()
login_auth,مصادقة تسجيل الدخول,مصادقة تسجيل الدخول,ara,TRUE,superadmin,now()
eod_auth,التخلص من الذخائر المتفجرة المصادقة,التخلص من الذخائر المتفجرة المصادقة,ara,TRUE,superadmin,now()
packet_auth,حزمة المصادقة,حزمة المصادقة,ara,TRUE,superadmin,now()
exception_auth,استثناء المصادقة,استثناء المصادقة,ara,TRUE,superadmin,now()
onboard_auth,مصادقة على متن الطائرة,مصادقة على متن الطائرة,ara,TRUE,superadmin,now()
login_auth,Authentification de connexion,Authentification de connexion,fra,TRUE,superadmin,now()
eod_auth,Authentification de nem,Authentification de nem,fra,TRUE,superadmin,now()
packet_auth,Authentification de paquet,Authentification de paquet,fra,TRUE,superadmin,now()
exception_auth,Authentification d’exception,Authentification d’exception,fra,TRUE,superadmin,now()
onboard_auth,Authentification intégrée,Authentification intégrée,fra,TRUE,superadmin,now()
login_auth,ಲಾಗಿನ್ ದೃಢೀಕರಣ,ಲಾಗಿನ್ ದೃಢೀಕರಣ,kan,TRUE,superadmin,now()
eod_auth,Eod ದೃಢೀಕರಣ,Eod ದೃಢೀಕರಣ,kan,TRUE,superadmin,now()
packet_auth,ಪ್ಯಾಕೆಟ್ ದೃಢೀಕರಣ,ಪ್ಯಾಕೆಟ್ ದೃಢೀಕರಣ,kan,TRUE,superadmin,now()
exception_auth,ವಿನಾಯಿತಿ ದೃಢೀಕರಣ,ವಿನಾಯಿತಿ ದೃಢೀಕರಣ,kan,TRUE,superadmin,now()
onboard_auth,ಆನ್‌ಬೋರ್ಡ್ ದೃಢೀಕರಣ,ಆನ್‌ಬೋರ್ಡ್ ದೃಢೀಕರಣ,kan,TRUE,superadmin,now()
login_auth,लॉगिन प्रमाणीकरण,लॉगिन प्रमाणीकरण,hin,TRUE,superadmin,now()
eod_auth,ईओडी प्रमाणीकरण,ईओडी प्रमाणीकरण,hin,TRUE,superadmin,now()
packet_auth,पैकेट प्रमाणीकरण,पैकेट प्रमाणीकरण,hin,TRUE,superadmin,now()
exception_auth,अपवाद प्रमाणीकरण,अपवाद प्रमाणीकरण,hin,TRUE,superadmin,now()
onboard_auth,जहाज पर प्रमाणीकरण,जहाज पर प्रमाणीकरण,hin,TRUE,superadmin,now()
login_auth,உள்நுழைவு அங்கீகாரம்,உள்நுழைவு அங்கீகாரம்,tam,TRUE,superadmin,now()
eod_auth,Eod அங்கீகாரம்,Eod அங்கீகாரம்,tam,TRUE,superadmin,now()
packet_auth,பாக்கெட் அங்கீகாரம்,பாக்கெட் அங்கீகாரம்,tam,TRUE,superadmin,now()
exception_auth,விதிவிலக்கு அங்கீகாரம்,விதிவிலக்கு அங்கீகாரம்,tam,TRUE,superadmin,now()
onboard_auth,உள் அங்கீகாரம்,உள் அங்கீகாரம்,tam,TRUE,superadmin,now()
