code,descr,lang_code,is_active,cr_by,cr_dtimes
auth-email-content,Template for authorization content,eng,TRUE,superadmin,now()
auth-email-subject,Template for authorization subject,eng,TRUE,superadmin,now()
auth-sms,Template for authorization SMS,eng,TRUE,superadmin,now()
auth-email-content,Modèle de contenu dautorisation,fra,TRUE,superadmin,now()
auth-email-subject,Modèle pour sujet dautorisation,fra,TRUE,superadmin,now()
auth-sms,Modèle de SMS dautorisation,fra,TRUE,superadmin,now()
auth-email-content,نموذج لمحتوى الترخيص,ara,TRUE,superadmin,now()
auth-email-subject,نموذج لموضوع التفويض,ara,TRUE,superadmin,now()
auth-sms,نموذج SMS إذن,ara,TRUE,superadmin,now()
RPR_DUP_UIN_EMAIL,Template for duplicate UIN Email,eng,TRUE,superadmin,now()
RPR_DUP_UIN_SMS,Template for duplicate UIN SMS,eng,TRUE,superadmin,now()
RPR_TEC_ISSUE_EMAIL,Template for Technical Issue Email,eng,TRUE,superadmin,now()
RPR_TEC_ISSUE_SMS,Template for Technical Issue SMS,eng,TRUE,superadmin,now()
RPR_UIN_GEN_EMAIL,Template for UIN generation Email,eng,TRUE,superadmin,now()
RPR_UIN_GEN_SMS,Template for UIN generation SMS,eng,TRUE,superadmin,now()
RPR_UIN_UPD_EMAIL,Template for update details Email,eng,TRUE,superadmin,now()
RPR_UIN_UPD_SMS,Template for update Details SMS,eng,TRUE,superadmin,now()
RPR_DUP_UIN_EMAIL,Modèle de courrier didentité en double,fra,TRUE,superadmin,now()
RPR_DUP_UIN_SMS,Modèle de message didentité en double,fra,TRUE,superadmin,now()
RPR_TEC_ISSUE_EMAIL,Modèle pour courrier électronique de problème technique,fra,TRUE,superadmin,now()
RPR_TEC_ISSUE_SMS,Modèle de message de problème technique,fra,TRUE,superadmin,now()
RPR_UIN_GEN_EMAIL,Modèle de courrier électronique de génération didentité,fra,TRUE,superadmin,now()
RPR_UIN_GEN_SMS,Modèle de message de génération didentité,fra,TRUE,superadmin,now()
RPR_UIN_UPD_EMAIL,Modèle pour les détails de la mise à jour Email,fra,TRUE,superadmin,now()
RPR_UIN_UPD_SMS,Modèle pour la mise à jour Détails Message,fra,TRUE,superadmin,now()
